step,step_timestamp,timestamp_ms,time_utc
86,1771789541813,1771789541813,2026-02-22 19:45:41.813000+00:00
87,1771789674541,1771789674541,2026-02-22 19:47:54.541000+00:00
87,1771789674712,1771789674712,2026-02-22 19:47:54.712000+00:00
88,1771789807728,1771789807728,2026-02-22 19:50:07.728000+00:00
88,1771789807898,1771789807898,2026-02-22 19:50:07.898000+00:00
89,1771789940438,1771789940438,2026-02-22 19:52:20.438000+00:00
89,1771789940607,1771789940607,2026-02-22 19:52:20.607000+00:00
90,1771790075936,1771790075936,2026-02-22 19:54:35.936000+00:00
90,1771790076108,1771790076108,2026-02-22 19:54:36.108000+00:00
91,1771790210285,1771790210285,2026-02-22 19:56:50.285000+00:00
91,1771790210457,1771790210457,2026-02-22 19:56:50.457000+00:00
92,1771790342808,1771790342808,2026-02-22 19:59:02.808000+00:00
92,1771790342981,1771790342981,2026-02-22 19:59:02.981000+00:00
93,1771790477570,1771790477570,2026-02-22 20:01:17.570000+00:00
93,1771790477740,1771790477740,2026-02-22 20:01:17.740000+00:00
94,1771790611797,1771790611797,2026-02-22 20:03:31.797000+00:00
94,1771790611970,1771790611970,2026-02-22 20:03:31.970000+00:00
95,1771790745238,1771790745238,2026-02-22 20:05:45.238000+00:00
95,1771790745409,1771790745409,2026-02-22 20:05:45.409000+00:00
96,1771790879009,1771790879009,2026-02-22 20:07:59.009000+00:00
96,1771790879178,1771790879178,2026-02-22 20:07:59.178000+00:00
97,1771791013780,1771791013780,2026-02-22 20:10:13.780000+00:00
97,1771791013953,1771791013953,2026-02-22 20:10:13.953000+00:00
98,1771791147030,1771791147030,2026-02-22 20:12:27.030000+00:00
98,1771791147200,1771791147200,2026-02-22 20:12:27.200000+00:00
99,1771791282085,1771791282085,2026-02-22 20:14:42.085000+00:00
99,1771791282255,1771791282255,2026-02-22 20:14:42.255000+00:00
100,1771791416591,1771791416591,2026-02-22 20:16:56.591000+00:00
100,1771791416760,1771791416760,2026-02-22 20:16:56.760000+00:00
101,1771791550030,1771791550030,2026-02-22 20:19:10.030000+00:00
101,1771791550200,1771791550200,2026-02-22 20:19:10.200000+00:00
102,1771791682701,1771791682701,2026-02-22 20:21:22.701000+00:00
102,1771791682871,1771791682871,2026-02-22 20:21:22.871000+00:00
103,1771791817179,1771791817179,2026-02-22 20:23:37.179000+00:00
103,1771791817348,1771791817348,2026-02-22 20:23:37.348000+00:00
104,1771791949822,1771791949822,2026-02-22 20:25:49.822000+00:00
104,1771791949997,1771791949997,2026-02-22 20:25:49.997000+00:00
105,1771792084410,1771792084410,2026-02-22 20:28:04.410000+00:00
105,1771792084579,1771792084579,2026-02-22 20:28:04.579000+00:00
106,1771792218578,1771792218578,2026-02-22 20:30:18.578000+00:00
106,1771792218768,1771792218768,2026-02-22 20:30:18.768000+00:00
107,1771792350850,1771792350850,2026-02-22 20:32:30.850000+00:00
107,1771792351019,1771792351019,2026-02-22 20:32:31.019000+00:00
108,1771792484874,1771792484874,2026-02-22 20:34:44.874000+00:00
108,1771792485046,1771792485046,2026-02-22 20:34:45.046000+00:00
109,1771792619082,1771792619082,2026-02-22 20:36:59.082000+00:00
109,1771792619251,1771792619251,2026-02-22 20:36:59.251000+00:00
110,1771792748375,1771792748375,2026-02-22 20:39:08.375000+00:00
110,1771792748546,1771792748546,2026-02-22 20:39:08.546000+00:00
111,1771792882268,1771792882268,2026-02-22 20:41:22.268000+00:00
111,1771792882439,1771792882439,2026-02-22 20:41:22.439000+00:00
112,1771793015517,1771793015517,2026-02-22 20:43:35.517000+00:00
112,1771793015687,1771793015687,2026-02-22 20:43:35.687000+00:00
113,1771793146667,1771793146667,2026-02-22 20:45:46.667000+00:00
113,1771793146839,1771793146839,2026-02-22 20:45:46.839000+00:00
114,1771793278803,1771793278803,2026-02-22 20:47:58.803000+00:00
114,1771793278973,1771793278973,2026-02-22 20:47:58.973000+00:00
115,1771793411410,1771793411410,2026-02-22 20:50:11.410000+00:00
115,1771793411580,1771793411580,2026-02-22 20:50:11.580000+00:00
